Comune,Opera,Profondità,Longitudine_WGS84,Latitudine_WGS84,URL,LEGENDA
TAURIANOVA,POZZO PER ACQUA,125,16°01'35.69''E,38°23'02.15''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=177132,POZZI IDRICI
GIOIA TAURO,POZZO PER ACQUA,65,15°54'53.68''E,38°25'23.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176521,POZZI IDRICI
MILETO,POZZO PER ACQUA,170,16°04'16.64''E,38°34'13.15''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175746,POZZI IDRICI
SAN CALOGERO,POZZO PER ACQUA,135,16°00'03.67''E,38°32'22.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175961,POZZI IDRICI
SAN CALOGERO,POZZO PER ACQUA,84,16°00'44.68''E,38°33'10.15''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175884,POZZI IDRICI
NICOTERA,POZZO PER ACQUA,100,15°57'36.65''E,38°32'23.14''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175809,POZZI IDRICI
LIMBADI,POZZO PER ACQUA,95,15°58'38.64''E,38°33'07.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175598,POZZI IDRICI
RIZZICONI,POZZO PER ACQUA,45,15°59'43.69''E,38°25'32.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=177010,POZZI IDRICI
CANDIDONI,POZZO PER ACQUA,40,15°57'35.68''E,38°30'11.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176219,POZZI IDRICI
SAN FERDINANDO,POZZO PER ACQUA,40,15°55'32.66''E,38°29'22.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176997,POZZI IDRICI
POLISTENA,POZZO PER ACQUA,92,16°04'04.69''E,38°24'40.18''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176620,POZZI IDRICI
GIOIA TAURO,POZZO PER ACQUA,50,15°54'43.07''E,38°25'58.19''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=16564,POZZI IDRICI
FRANCICA,POZZO PER ACQUA,80,16°05'54.64''E,38°36'10.19''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175506,POZZI IDRICI
TAURIANOVA,POZZO PER ACQUA,85,15°57'02.70''E,38°22'01.13''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=177112,POZZI IDRICI
POLISTENA,POZZO PER ACQUA,100,16°05'32.68''E,38°23'55.18''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=176697,POZZI IDRICI
LIMBADI,POZZO PER ACQUA,100,15°58'42.67''E,38°31'32.16''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175690,POZZI IDRICI
LIMBADI,POZZO PER ACQUA,116,15°57'58.64''E,38°34'24.17''N,http://sgi2.isprambiente.it/indagini/scheda_indagine.aspx?Codice=175602,POZZI IDRICI
