;;;;;;;;;;;;;;;;;;;;;top1;bottom1;strato1;top2;bottom2;strato2;top3;bottom3;strato3;top4;bottom4;strato4;top5;bottom5;strato5;top6;bottom6;strato6;top7;bottom7;strato7;;;;;;
15.9688;38.415319;176924;Calabria;REGGIO DI CALABRIA;RIZZICONI;60;1991;8;7;2;1;5;40;20;ND;ND;40;60;50;55;0;10;TERRENO ARGILLOSO UMIFERO;10;20;TERRENO SABBIOSO;20;35;TERRENO ARGILLIFORME;35;45;TERRENO MISTO DI SABBIA E PIETRE;45;60;TERRENO FINO LIMOSO CON DISCRETA FALDA LIBERA;;;;;;;;;;;;
15.971617;38.556536;16763;Calabria;VIBO VALENTIA;LIMBADI;81;ND;5;2;1;70;5;ND;ND;ND;ND;60;80;30;35;0;2.3;TERRENO VEGETALE DI COLORE MARRONE - ROSSASTRO, SABBIOSO LIMOSO;2.3;35;ARGILLE SILTOSE PLIOCENICHE CON LIVELLI SILTOSO-SABBIOSI. MOLTO COMPATTI.;35;81;GRANITO S.L.;;;;;;;;;;;;;;;;;;
15.927689;38.374761;190981;Calabria;REGGIO DI CALABRIA;RIZZICONI;226;ND;18;ND;1;180;0;ND;ND;ND;ND;ND;ND;0;0;0;1;TERRENO VEGETALE;1;15;ARGILLE LIMOSE;15;180;ARGILLE;180;226;ALTERNANZE DI LIVELLI DI SABBIE E GHIAIE, CON INTERCALAZIONI DI LIMI ARGILLOSI E ARGILLE;;;;;;;;;;;;;;;
15.977969;38.391711;177125;Calabria;REGGIO DI CALABRIA;TAURIANOVA;55;1997;15;15;1;40;15;ND;ND;ND;ND;ND;ND;40;40;0;2;VEGETALE;2;40;SABBIOSO;40;55;SABBIA E GHIAIA;;;;;;;;;;;;;;;;;;
15.892689;38.424211;153906;Calabria;REGGIO DI CALABRIA;GIOIA TAURO;40;2003;ND;0.4;2;22;3;30;0;ND;ND;ND;ND;1.8;ND;0;0.8;TERRENO VEGETALE;0.8;25;SABBIA E GHIAIA SABBIOSA CON INTERCALAZIONI DI SILT ARGILLOSI DI SPESSORE COMUNQUE MODESTO;25;40;ARGILLA SILTOSA E SILT CON INTERVALLI DI SABBIE IN FALDA;;;;;;;;;;;;;;;;;;
15.935739;38.41865;176425;Calabria;REGGIO DI CALABRIA;GIOIA TAURO;170;1995;18;1080;1;100;70;ND;ND;ND;ND;ND;ND;100;100;0;2;TERRENO VEGETALE;2;60;SABBIA E GHIAIA;60;100;ARGILLA;100;170;SABBIA E GHIAIA;;;;;;;;;;;;;;;
15.966392;38.395233;16679;Calabria;REGGIO DI CALABRIA;RIZZICONI;115;2008;13.33;9;2;40;45;100;15;ND;ND;ND;ND;-1;2.5;0;3;TERRENO VEGETALE;3;28;GHIAIA CON SABBIA;28;68;SABBIA LIMOSA;68;85;SABBIA;85;100;ARGILLA;100;115;SABBIA CON LIVELLI ARENACEI;;;;;;;;;
16.0538;38.419219;176580;Calabria;REGGIO DI CALABRIA;POLISTENA;90;1990;6;5;2;0;30;31;59;ND;ND;ND;ND;20;40;0;2;TERRENO VEGETALE;2;30;PIETRISCO SILICEO;30;60;SABBIONE E GHIAIA;60;75;ARGILLA COMPATTA;75;90;ARGILLA LIMOSA E FALDA ACQUIFERA;;;;;;;;;;;;
16.06075;38.399489;176333;Calabria;REGGIO DI CALABRIA;CITTANOVA;80;1992;5;4;2;0;30;50;30;ND;ND;ND;ND;7;21;0;1.5;HUMUS E TERENO VEGETALE;1.5;10;ROCCIA VIVA;10;30;PIETRISCO E SABBIA;30;60;ARGILLA COMPATTA;60;80;ARGILLA E FALDA ACQUIFERA;;;;;;;;;;;;
15.967681;38.53115;175828;Calabria;VIBO VALENTIA;NICOTERA;110;1993;15;13;1;80;30;ND;ND;ND;ND;ND;ND;40;60;0;21;SABBIA E GHIAIA ROSSASTRA;21;62;ARGILLA GRIGIA;62;110;GRANITO BIOTITICO;;;;;;;;;;;;;;;;;;
